"","Ensembl Gene ID","Gene Symbol","Assigned Tier","Possible Tiers","Pharos Protein Family","...6","...7","...8"
"1","ENSG00000213465.8","ARL2","T1","T1","Enzyme",0.000169767735711523,0.00136420468341177,0.0155763118380768
"2","ENSG00000188641.14","DPYD","T1","T1","Enzyme",1.11764659537898e-05,0.000143509613847708,0.000210315312834052
"3","ENSG00000167658.16","EEF2","T1","T1","Other",8.85374537358158e-07,5.86368248539566e-07,0.00142582598477564
"4","ENSG00000117525.14","F3","T1","T1","Other",9.72280084202535e-05,0.00085229545532662,0.00672101259056766
"5","ENSG00000159131.17","GART","T1","T1","Other",3.03962486721692e-06,5.67777530177682e-07,1.71144294403223e-05
"6","ENSG00000182054.10","IDH2","T1","T1","Enzyme",4.16535575048436e-06,0.0308421557448522,0.0276040148061288
"7","ENSG00000166963.13","MAP1A","T1","T1","Other",3.73646164134425e-08,1.23885371426351e-10,2.8728453340249e-07
"8","ENSG00000148229.13","POLE3","T1","T1","Enzyme",0.0011991507738905,0.000461791703824967,0.0233515034418794
"9","ENSG00000115350.12","POLE4","T1","T1","Enzyme",0.000305938030046093,0.0449210022157263,0.439241165592959
"10","ENSG00000126067.12","PSMB2","T1","T1","Enzyme",0.00138243522310916,0.0424913673895128,0.0456486546857532
"11","ENSG00000240065.8","PSMB9","T1","T1","Enzyme",0.000227863870128096,0.00678244208867157,0.000355194505551591
"12","ENSG00000100316.16","RPL3","T1","T1","Other",0.000429500047195777,2.67105407074501e-06,0.00929801906232928
"13","ENSG00000048392.12","RRM2B","T1","T1","Enzyme",0.00802646079428102,0.819413256081454,0.0216131636346105
"14","ENSG00000129214.15","SHBG","T1","T1","Other",0.000170255982432659,0.237124502108338,0.200725389519914
"15","ENSG00000082898.17","XPO1","T1","T1","Other",0.00295997543603409,0.00105166835585426,0.734046519019741
"16","ENSG00000113851.14","CRBN","T1","T1","Other",1.59247262015576e-06,8.33075951371229e-08,1.26741252593925e-05
"17","ENSG00000130816.16","DNMT1","T1","T1","Enzyme",4.63948952094828e-07,3.89991192011611e-07,0.000845468967054128
"18","ENSG00000047849.21","MAP4","T1","T1","Other",0.00334166198025525,0.0445263190712886,0.0174581978250844
"19","ENSG00000008018.9","PSMB1","T1","T1","Enzyme",0.000263266347261242,0.145451178296121,0.0300335364011774
"20","ENSG00000186716.21","BCR","T1","T1","Other",7.77951798453779e-05,4.00660994238408e-05,0.000594600387134392
"21","ENSG00000078018.20","MAP2","T1","T1","Other",0.000550539801577303,0.000176162731413916,0.00178798321281681
"22","ENSG00000101868.11","POLA1","T1","T1","Enzyme",1.81286403964204e-05,9.47001346237077e-06,0.00379183325569037
"23","ENSG00000146648.18","EGFR","T1","T1,T2,T3,T4,T5","Kinase",0.000174865189334164,0.000307671942465949,0.00151480705496317
"24","ENSG00000176890.16","TYMS","T1","T1,T4","Enzyme",6.4183280184282e-06,3.60095860271281e-05,0.0157280178640661
"25","ENSG00000102755.12","FLT1","T1","T1,T2,T3,T4,T5","Kinase",0.00237041925856636,0.0187268288533215,0.364275024072339
"26","ENSG00000157404.16","KIT","T1","T1,T3,T4,T5","Kinase",0.00540028926372518,0.00277922786706234,0.0298553286084295
"27","ENSG00000131747.15","TOP2A","T1","T1,T2,T3,T4","Enzyme",5.84466752951689e-05,7.60999612849279e-05,0.0117440635386575
"28","ENSG00000134853.12","PDGFRA","T1","T1,T2,T3,T4,T5","Kinase",0.000869836875235079,0.0597225450080838,0.396420205297855
"29","ENSG00000097007.19","ABL1","T1","T1,T3,T4","Kinase",0.00227661634764728,0.00404244372457506,0.0884098054337749
"30","ENSG00000171848.15","RRM2","T1","T1,T2","Other",3.35638440068634e-05,0.000147633866019048,0.00591763672788186
"31","ENSG00000157764.13","BRAF","T1","T1,T2,T3,T4","Kinase",2.95361330731052e-06,5.42434078352796e-07,1.13795992627963e-05
"32","ENSG00000116478.12","HDAC1","T1","T1,T3","Epigenetic",0.000724235817103984,0.000491106688806319,0.00385655182090326
"33","ENSG00000105976.15","MET","T1","T1,T3,T4","Kinase",0.00552598622710211,0.0262475236614249,0.0332098353079753
"34","ENSG00000068078.18","FGFR3","T1","T1,T3,T4","Kinase",3.49134371801486e-05,0.000147612349546529,0.00139192004750797
"35","ENSG00000167325.15","RRM1","T1","T1,T4","Enzyme",7.13695012373836e-10,9.07670459620425e-10,8.39755769125379e-05
"36","ENSG00000198900.6","TOP1","T1","T1,T2,T3,T4","Enzyme",0.000502633792196074,0.000280038959584131,0.0312962043238773
"37","ENSG00000010671.16","BTK","T1","T1,T3,T4","Kinase",0.000708839512152587,0.000996095349753778,0.000164900480319574
"38","ENSG00000135446.17","CDK4","T1","T1,T3,T4","Kinase",8.12730256910318e-10,0.000100284565757624,0.00246292646870458
"39","ENSG00000143799.13","PARP1","T1","T1,T3,T4","Enzyme",0.000420409214156594,0.000213506432885427,0.0117724514281271
"40","ENSG00000105810.10","CDK6","T1","T1,T4","Kinase",3.3334793170491e-08,0.000144853132621638,0.000532579191254536
"41","ENSG00000228716.7","DHFR","T1","T1,T2,T4","Enzyme",2.45983826471549e-06,1.02339973890418e-06,0.000136145432228141
"42","ENSG00000169032.10","MAP2K1","T1","T1,T2,T3,T4","Kinase",2.36880755737667e-07,7.61426818948287e-09,7.91731439823997e-06
"43","ENSG00000126934.14","MAP2K2","T1","T1,T2,T3,T4","Kinase",0.000703073438730943,0.00114936555570875,0.0101376880132741
"44","ENSG00000128602.11","SMO","T1","T1,T3","GPCR",0.000625188345183192,0.00277887687944881,0.00303228757506806
"45","ENSG00000186868.15","MAPT","T1","T1,T2","Other",2.02619846862116e-08,2.51045372896823e-08,2.22375100590706e-05
"46","ENSG00000096968.14","JAK2","T1","T1,T2,T3,T4","Kinase",0.00101462682188481,0.365841079625525,0.666624979225449
"47","ENSG00000196591.12","HDAC2","T1","T1,T2,T3","Epigenetic",1.94287872790024e-08,3.26075356355207e-06,0.0339483029913675
"48","ENSG00000198793.13","MTOR","T1","T1,T2,T3,T4","Kinase",0.000362529619017888,0.0142730254097909,0.00579217696092282
"49","ENSG00000121879.5","PIK3CA","T1","T1,T3,T4","Kinase",4.10434547611989e-05,5.79135452043894e-05,0.000173303001876429
"50","ENSG00000154229.12","PRKCA","T1","T1,T3,T4","Kinase",1.01408110451534e-07,1.29374369730708e-06,0.0333926029141502
"51","ENSG00000140538.16","NTRK3","T1","T1,T3,T4","Kinase",2.83208907043192e-06,1.98171548128918e-06,0.000288405688621362
"52","ENSG00000177606.7","JUN","T1","T1,T2","Transcription Factor",0.00499477697379726,0.0185224682605832,0.113727482689525
"53","ENSG00000167397.15","VKORC1","T1","T1,T2","Enzyme",0.00179134820234072,0.0188768585155847,0.00594627881302241
"54","ENSG00000189221.9","MAOA","T1","T1,T2,T3,T4","Enzyme",2.38342182356697e-07,4.76382472856125e-05,0.00672157967424882
"55","ENSG00000112715.24","VEGFA","T1","T1,T2,T3","Other",1.04803706645892e-06,1.36755985728829e-05,5.4088075316795e-05
"56","ENSG00000012779.11","ALOX5","T1","T1,T2,T3,T4","Enzyme",0.00500938079519454,0.0148075723538947,0.00163208440668527
"57","ENSG00000106348.18","IMPDH1","T1","T1,T2,T4","Enzyme",2.3215713221678e-10,6.40559741303307e-05,0.00317072901984631
"58","ENSG00000178035.12","IMPDH2","T1","T1,T2,T4","Enzyme",1.8979632469623e-05,1.80908821366682e-06,5.96062353396335e-05
"59","ENSG00000104365.15","IKBKB","T1","T1,T2,T3","Kinase",7.63029562735264e-08,1.22085220276421e-07,1.68404020290615e-06
"60","ENSG00000104687.14","GSR","T1","T1,T2,T4","Enzyme",6.51720966711754e-05,0.000237757757252819,0.0436757907931856
"61","ENSG00000127824.14","TUBA4A","T1","T1,T2,T4","Other",1.00552768267585e-08,1.17587894107284e-09,9.34617393526168e-06
"62","ENSG00000213923.13","CSNK1E","T1","T1,T3","Kinase",3.09486795936079e-05,8.50633356215603e-06,6.42094917863197e-05
"63","ENSG00000171720.10","HDAC3","T1","T1,T3","Epigenetic",3.53850374944213e-06,3.60533457915085e-06,0.00201543490345555
"64","ENSG00000133703.13","KRAS","T1","T1,T3","Enzyme",0.000318500954763269,0.00116851470051109,0.000491026662664101
"65","ENSG00000204264.12","PSMB8","T1","T1,T3","Enzyme",0.000178993103617591,0.000571516572324312,3.73484641686365e-05
"66","ENSG00000094631.21","HDAC6","T1","T1,T3","Epigenetic",1.40836337099156e-06,4.22675489884565e-07,0.00169307382140389
"67","ENSG00000185386.15","MAPK11","T1","T1,T3,T4","Kinase",0.00141312390321434,0.000919701345839216,0.0142097678360774
"68","ENSG00000102882.12","MAPK3","T1","T1,T3,T4","Kinase",0.000180407729480384,6.44819923649897e-05,0.00905341812470765
"69","ENSG00000178568.15","ERBB4","T1","T1,T3,T4","Kinase",1.57738679914437e-05,0.000141046655543463,0.00139618647433748
"70","ENSG00000066468.23","FGFR2","T1","T1,T3,T4,T5","Kinase",0.000496480015618942,0.000304081321759105,0.00887876738929612
"71","ENSG00000162733.19","DDR2","T1","T1,T3,T4,T5","Kinase",0.00808231802375165,0.014923714894818,0.000883623438378314
"72","ENSG00000165704.15","HPRT1","T1","T1,T4","Enzyme",1.76676081476812e-08,6.49452008722581e-10,3.86675680120168e-06
"73","ENSG00000077097.15","TOP2B","T1","T1,T4","Enzyme",2.00586964711752e-08,5.10923460557559e-08,0.00025299162273837
"74","ENSG00000258947.7","TUBB3","T1","T1,T4","Other",0.00014075324994009,0.000220404657256271,0.00169674992384895
"75","ENSG00000025708.14","TYMP","T1","T1,T4","Enzyme",0.00304325688029527,0.00829803497879075,0.000266314215871519
"76","ENSG00000165029.16","ABCA1","T2","T2","Transporter",0.00144112000956559,0.000859960268399526,0.000290705938342992
"77","ENSG00000131473.17","ACLY","T2","T2","Enzyme",0.00968649304794385,0.147898777660363,0.01637044879066
"78","ENSG00000070961.15","ATP2B1","T2","T2","Transporter",5.41589975918079e-05,3.54577274936018e-05,0.000523845480693489
"79","ENSG00000147416.11","ATP6V1B2","T2","T2","Enzyme",6.844137601734e-07,5.55709883212324e-08,0.000102764867942676
"80","ENSG00000155097.12","ATP6V1C1","T2","T2","Enzyme",1.09422923613226e-06,2.62587831763772e-08,2.62602027489365e-05
"81","ENSG00000204217.15","BMPR2","T2","T2","Kinase",0.000597928521434323,0.000509031939517249,0.00366966079356622
"82","ENSG00000224389.9","C4B","T2","T2","Other",0.00937371886923674,0.673993742915793,0.387861621164189
"83","ENSG00000007402.11","CACNA2D2","T2","T2","Ion Channel",4.77868801152258e-06,5.81381052641052e-07,1.32536791259097e-05
"84","ENSG00000198668.13","CALM1","T2","T2","Other",6.96517271991021e-07,6.41319580436358e-07,0.000136075053710105
"85","ENSG00000127884.5","ECHS1","T2","T2","Enzyme",2.58825710580725e-08,1.93317966745314e-07,0.00102217289994411
"86","ENSG00000118402.6","ELOVL4","T2","T2","Other",0.0048494429637676,0.00935424584452408,0.0100913218684667
"87","ENSG00000171503.12","ETFDH","T2","T2","Enzyme",2.14417495649384e-06,9.38251802599082e-05,0.00308548866795117
"88","ENSG00000134824.14","FADS2","T2","T2","Enzyme",0.000668660202738968,0.00202366462951953,0.0694745342991503
"89","ENSG00000115414.20","FN1","T2","T2","Other",6.46604968480406e-05,0.00168495948710952,0.0506439142173739
"90","ENSG00000100983.12","GSS","T2","T2","Enzyme",0.00962907087885264,0.00707098314156999,0.0584643492672218
"91","ENSG00000133731.10","IMPA1","T2","T2","Enzyme",2.71063011552818e-10,2.36207286820149e-09,0.00164830701324127
"92","ENSG00000111716.14","LDHB","T2","T2","Enzyme",2.82318454666167e-08,6.59886337673882e-07,0.00154121312901978
"93","ENSG00000160194.18","NDUFV3","T2","T2","Enzyme",4.3788790527169e-05,0.000136783431165813,0.00370671079102738
"94","ENSG00000166741.7","NNMT","T2","T2","Enzyme",0.00633729939401103,0.0264424064803232,0.0883006901049561
"95","ENSG00000122585.8","NPY","T2","T2","Other",1.15322793275513e-07,2.60627081087324e-08,0.0180854105359664
"96","ENSG00000108179.14","PPIF","T2","T2","Enzyme",1.16421046950129e-05,0.000974617737149022,0.104611791472686
"97","ENSG00000221823.11","PPP3R1","T2","T2","Other",5.18127696933816e-06,2.05368183676495e-07,0.000153162804345222
"98","ENSG00000126432.14","PRDX5","T2","T2","Other",2.30820892686404e-05,4.41621214886867e-06,0.000386973618966219
"99","ENSG00000135002.12","RFK","T2","T2","Enzyme",0.000821110015607222,0.000977445430186001,0.00147313366241312
"100","ENSG00000105711.12","SCN1B","T2","T2","Ion Channel",7.44482903812508e-06,2.87693819422977e-06,0.000103898854126093
"101","ENSG00000166257.9","SCN3B","T2","T2","Ion Channel",4.31599630421397e-05,0.00013424169791143,0.00232337393956944
"102","ENSG00000073578.17","SDHA","T2","T2","Enzyme",1.82594446715513e-05,3.64002716150503e-05,0.000796041708935508
"103","ENSG00000105281.12","SLC1A5","T2","T2","Transporter",0.00533068686101371,0.00829089278151558,0.0279993403729213
"104","ENSG00000151729.11","SLC25A4","T2","T2","Transporter",3.73731769826256e-06,3.84678865740373e-07,2.40405170673024e-05
